TOW	Sat1	Sat2	Sat3	Sat4	Sat5	Sat6	Sat7	Sat8	Sat9	Sat10	Sat11	Sat12	Sat13	Sat14	Sat15	Sat16	Sat17	Sat18	Sat19	Sat20	Sat21	Sat22	Sat23	Sat24	Sat25	Sat26	Sat27	Sat28	Sat29	Sat30	Sat31	Sat32
138049	0	0	0	0	-19.1839	0	0	0	0	0	0	0	0	0	0	4.30164	0	0	0	-3.03875	8.4342	0	0	0	1.89502	5.96123	-19.6812	0	14.6049	0	6.70684	0
138050	0	0	0	0	-29.0637	0	0	0	0	0	0	0	0	0	0	5.99256	0	0	0	-1.32623	10.1958	0	0	0	3.47587	7.66387	-21.9201	0	16.514	0	8.4679	0
138051	0	0	0	0	-26.7307	0	0	0	0	0	0	0	0	0	0	5.9087	0	0	0	-1.40705	9.83532	0	0	0	2.98681	7.23991	-22.7498	0	16.2734	0	8.64341	0
138052	0	0	0	0	-29.4657	0	0	0	0	0	0	0	0	0	0	5.88623	0	0	0	-1.33161	9.46806	0	0	0	2.81366	7.19736	-18.9469	0	15.9463	0	8.43258	0
138053	0	0	0	0	-28.3437	0	0	0	0	0	0	0	0	0	0	5.97653	0	0	0	-1.59819	9.66022	0	0	0	2.89436	7.02048	-19.4032	0	15.5751	0	8.21832	0
138054	0	0	0	0	-29.5247	0	0	0	0	0	0	0	0	0	0	6.2407	0	0	0	-1.25573	10.089	0	0	0	3.36852	7.12807	-20.6636	0	15.7359	0	8.88185	0
138055	0	0	0	0	-28.525	0	0	0	0	0	0	0	0	0	0	6.17172	0	0	0	-1.23878	9.75865	0	0	0	3.7029	7.07421	-21.5773	0	15.8168	0	8.81676	0
138056	0	0	0	0	-29.8583	0	0	0	0	0	0	0	0	0	0	6.22913	0	0	0	-1.06162	9.87918	0	0	0	3.17914	6.76001	-19.3204	0	15.562	0	8.63089	0
138057	0	0	0	0	-29.929	0	0	0	0	0	0	0	0	0	0	6.19578	0	0	0	-1.19442	9.97163	0	0	0	2.59218	6.42205	-18.2369	0	15.6005	0	8.5782	0
138058	0	0	0	0	-27.8947	0	0	0	0	0	0	0	0	0	0	6.25103	0	0	0	-1.50143	10.0758	0	0	0	2.28714	6.28329	-19.5522	0	15.3003	0	8.75078	0
138059	0	0	0	0	-28.6412	0	0	0	0	0	0	0	0	0	0	6.26401	0	0	0	-1.5551	10.5406	0	0	0	2.44723	6.50953	-19.5058	0	15.2721	0	8.66873	0
138060	0	0	0	0	-27.2226	0	0	0	0	0	0	0	0	0	0	6.05054	0	0	0	-1.9148	10.2221	0	0	0	2.32111	6.4716	-19.8175	0	15.2008	0	8.68879	0
138061	0	0	0	0	-24.3912	0	0	0	0	0	0	0	0	0	0	5.8879	0	0	0	-2.33815	9.96477	0	0	0	2.00281	6.15885	-20.3061	0	14.6657	0	8.3553	0
138062	0	0	0	0	-22.6509	0	0	0	0	0	0	0	0	0	0	5.82844	0	0	0	-2.51101	9.74238	0	0	0	1.63191	6.025	-20.8406	0	14.8273	0	7.94743	0
138063	0	0	0	0	-21.2224	0	0	0	0	0	0	0	0	0	0	5.53481	0	0	0	-2.65732	9.27865	0	0	0	1.50798	5.77631	-20.7899	0	14.8071	0	7.76474	0
138064	0	0	0	0	-21.8207	0	0	0	0	0	0	0	0	0	0	6.15389	0	0	0	-2.94768	9.40635	0	0	0	1.63488	5.6348	-20.9878	0	15.0628	0	7.86343	0
138065	0	0	0	0	-23.3541	0	0	0	0	0	0	0	0	0	0	6.56985	0	0	0	-2.69182	9.69018	0	0	0	1.86524	6.04642	-20.8574	0	15.0107	0	7.72095	0
138066	0	0	0	0	-26.9405	0	0	0	0	0	0	0	0	0	0	7.44482	0	0	0	-2.03901	10.1728	0	0	0	2.28533	6.53035	-20.6265	0	15.2519	0	7.92089	0
138067	0	0	0	0	-32.7437	0	0	0	0	0	0	0	0	0	0	8.56265	0	0	0	-1.30142	10.7253	0	0	0	3.20245	7.26302	-19.7785	0	15.5701	0	8.50007	0
138068	0	0	0	0	-37.3464	0	0	0	0	0	0	0	0	0	0	9.10899	0	0	0	-0.612791	11.0132	0	0	0	3.77609	7.84892	-19.276	0	16.1371	0	9.35086	0
138069	0	0	0	0	-42.0776	0	0	0	0	0	0	0	0	0	0	9.93601	0	0	0	-0.115629	11.5658	0	0	0	4.41339	8.21534	-18.8513	0	17.0283	0	9.88575	0
138070	0	0	0	0	-52.2859	0	0	0	0	0	0	0	0	0	0	11.576	0	0	0	1.00152	12.5926	0	0	0	6.14392	9.36568	-17.5885	0	18.1565	0	11.0383	0
138071	0	0	0	0	-56.9835	0	0	0	0	0	0	0	0	0	0	12.0511	0	0	0	1.6335	13.1279	0	0	0	6.76311	10.0726	-16.9504	0	18.6521	0	11.6335	0
138072	0	0	0	0	-57.8107	0	0	0	0	0	0	0	0	0	0	12.3301	0	0	0	1.22192	13.3113	0	0	0	6.90789	10.5194	-16.71	0	18.6983	0	11.5318	0
138073	0	0	0	0	-59.2551	0	0	0	0	0	0	0	0	0	0	12.5843	0	0	0	1.42166	13.5326	0	0	0	6.59278	10.6682	-16.3906	0	18.8769	0	11.9692	0
138074	0	0	0	0	-70.483	0	0	0	0	0	0	0	0	0	0	14.1179	0	0	0	2.87354	15.3575	0	0	0	7.64521	11.9888	-15.0807	0	20.2473	0	13.3334	0
138075	0	0	0	0	-77.9781	0	0	0	0	0	0	0	0	0	0	14.9773	0	0	0	3.86844	16.3439	0	0	0	8.59159	12.8767	-13.8787	0	20.8561	0	14.3428	0
