Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,17,43.00,47,02.62887,008,16.80410,2,08,1.09,635.5,47.3,48.4,0199
13,17,44.00,47,02.62885,008,16.80412,2,08,1.09,635.5,47.3,49.4,0199
13,17,45.00,47,02.62883,008,16.80414,2,08,1.09,635.5,47.3,48.6,0199
13,17,46.00,47,02.62882,008,16.80417,2,08,1.09,635.5,47.3,48.4,0199
13,17,47.00,47,02.62880,008,16.80420,2,08,1.09,635.5,47.3,48.2,0199
13,17,48.00,47,02.62879,008,16.80423,2,08,1.09,635.5,47.3,48.6,0199
13,17,49.00,47,02.62878,008,16.80425,2,08,1.09,635.5,47.3,48.4,0199
13,17,50.00,47,02.62877,008,16.80428,2,08,1.09,635.6,47.3,48.2,0199
13,17,51.00,47,02.62876,008,16.80430,2,08,1.09,635.6,47.3,48.6,0199
13,17,52.00,47,02.62875,008,16.80433,2,08,1.09,635.6,47.3,48.4,0199
13,17,53.00,47,02.62874,008,16.80435,2,08,1.09,635.6,47.3,48.2,0199
13,17,54.00,47,02.62873,008,16.80438,2,08,1.09,635.7,47.3,49.2,0199
13,17,55.00,47,02.62872,008,16.80440,2,08,1.09,635.7,47.3,48.4,0199
13,17,56.00,47,02.62871,008,16.80442,2,08,1.09,635.7,47.3,48.2,0199
13,17,57.00,47,02.62870,008,16.80447,2,08,1.09,635.8,47.3,48.6,0199
13,17,58.00,47,02.62870,008,16.80450,2,08,1.09,635.8,47.3,49.6,0199
13,17,59.00,47,02.62869,008,16.80450,2,08,1.09,635.8,47.3,48.2,0199
13,18,00.00,47,02.62869,008,16.80452,2,08,1.09,635.9,47.3,49.2,0199
13,18,01.00,47,02.62869,008,16.80452,2,08,1.09,635.9,47.3,48.4,0199
13,18,02.00,47,02.62868,008,16.80453,2,08,1.09,635.9,47.3,48.2,0199
13,18,03.00,47,02.62868,008,16.80455,2,08,1.09,635.9,47.3,49.2,0199
13,18,04.00,47,02.62867,008,16.80456,2,08,1.09,636.0,47.3,48.4,0199
13,18,05.00,47,02.62866,008,16.80458,2,08,1.09,636.0,47.3,48.2,0199
13,18,06.00,47,02.62865,008,16.80459,2,08,1.10,636.0,47.3,48.6,0199
13,18,07.00,47,02.62864,008,16.80460,2,08,1.10,636.1,47.3,49.6,0199
13,18,08.00,47,02.62863,008,16.80460,2,08,1.10,636.1,47.3,48.2,0199
13,18,09.00,47,02.62862,008,16.80462,2,08,1.10,636.1,47.3,48.6,0199
13,18,10.00,47,02.62861,008,16.80463,2,08,1.10,636.1,47.3,48.4,0199
13,18,11.00,47,02.62861,008,16.80465,2,08,1.10,636.2,47.3,49.4,0199
13,18,12.00,47,02.62861,008,16.80466,2,08,1.10,636.2,47.3,48.6,0199
13,18,13.00,47,02.62861,008,16.80468,2,08,1.10,636.2,47.3,48.4,0199
13,18,14.00,47,02.62861,008,16.80471,2,08,1.10,636.3,47.3,49.4,0199
13,18,15.00,47,02.62860,008,16.80473,2,08,1.10,636.3,47.3,48.6,0199
13,18,16.00,47,02.62860,008,16.80476,2,08,1.10,636.3,47.3,48.4,0199
13,18,17.00,47,02.62860,008,16.80478,2,08,1.10,636.4,47.3,48.2,0199
13,18,18.00,47,02.62860,008,16.80480,2,08,1.10,636.4,47.3,48.6,0199
13,18,19.00,47,02.62860,008,16.80483,2,08,1.10,636.5,47.3,49.6,0199
13,18,20.00,47,02.62860,008,16.80485,2,08,1.10,636.5,47.3,49.4,0199
13,18,21.00,47,02.62860,008,16.80487,2,08,1.10,636.6,47.3,48.6,0199
13,18,22.00,47,02.62860,008,16.80488,2,08,1.10,636.6,47.3,48.4,0199
13,18,23.00,47,02.62860,008,16.80490,2,08,1.10,636.7,47.3,48.2,0199
13,18,24.00,47,02.62861,008,16.80491,2,08,1.10,636.7,47.3,48.6,0199
13,18,25.00,47,02.62861,008,16.80493,2,08,1.10,636.8,47.3,48.4,0199
13,18,26.00,47,02.62861,008,16.80494,2,08,1.10,636.9,47.3,49.4,0199
13,18,27.00,47,02.62861,008,16.80495,2,08,1.10,636.9,47.3,48.6,0199
13,18,28.00,47,02.62861,008,16.80496,2,08,1.10,637.0,47.3,49.6,0199
13,18,29.00,47,02.62861,008,16.80497,2,08,1.10,637.0,47.3,49.4,0199
13,18,30.00,47,02.62861,008,16.80497,2,08,1.10,637.1,47.3,48.6,0199
13,18,31.00,47,02.62862,008,16.80499,2,08,1.10,637.2,47.3,48.4,0199
13,18,32.00,47,02.62862,008,16.80500,2,08,1.10,637.2,47.3,48.2,0199
13,18,33.00,47,02.62862,008,16.80500,2,08,1.10,637.3,47.3,48.6,0199
13,18,34.00,47,02.62863,008,16.80501,2,08,1.10,637.3,47.3,48.4,0199
13,18,35.00,47,02.62863,008,16.80501,2,08,1.10,637.4,47.3,48.2,0199
13,18,36.00,47,02.62864,008,16.80501,2,08,1.10,637.5,47.3,48.6,0199
