Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,00,58.00,47,02.63268,008,16.80930,1,10,,653.0,,,
13,00,59.00,47,02.63268,008,16.80930,1,10,,653.0,,,
13,01,00.00,47,02.63268,008,16.80930,1,10,,652.9,,,
13,01,01.00,47,02.63268,008,16.80930,1,10,,652.9,,,
13,01,02.00,47,02.63268,008,16.80930,1,10,,652.9,,,
13,01,03.00,47,02.63268,008,16.80930,1,10,,652.9,,,
13,01,04.00,47,02.63274,008,16.80930,1,10,,652.9,,,
13,01,05.00,47,02.63274,008,16.80930,1,10,,652.9,,,
13,01,06.00,47,02.63274,008,16.80930,1,10,,652.9,,,
13,01,07.00,47,02.63274,008,16.80930,1,10,,652.8,,,
13,01,08.00,47,02.63268,008,16.80930,1,10,,652.8,,,
13,01,09.00,47,02.63268,008,16.80930,1,10,,652.8,,,
13,01,10.00,47,02.63268,008,16.80930,1,10,,652.7,,,
13,01,11.00,47,02.63268,008,16.80930,1,10,,652.7,,,
13,01,12.00,47,02.63268,008,16.80930,1,10,,652.7,,,
13,01,13.00,47,02.63268,008,16.80930,1,10,,652.7,,,
13,01,14.00,47,02.63268,008,16.80936,1,10,,652.6,,,
13,01,15.00,47,02.63268,008,16.80936,1,10,,652.6,,,
13,01,16.00,47,02.63268,008,16.80936,1,10,,652.5,,,
13,01,17.00,47,02.63268,008,16.80936,1,10,,652.5,,,
13,01,18.00,47,02.63268,008,16.80936,1,10,,652.5,,,
13,01,19.00,47,02.63268,008,16.80936,1,10,,652.4,,,
13,01,20.00,47,02.63268,008,16.80936,1,10,,652.4,,,
13,01,21.00,47,02.63268,008,16.80936,1,10,,652.3,,,
13,01,22.00,47,02.63268,008,16.80936,1,10,,652.3,,,
13,01,23.00,47,02.63262,008,16.80936,1,10,,652.2,,,
13,01,24.00,47,02.63262,008,16.80936,1,10,,652.2,,,
13,01,25.00,47,02.63262,008,16.80936,1,10,,652.1,,,
13,01,26.00,47,02.63262,008,16.80936,1,10,,652.1,,,
13,01,27.00,47,02.63262,008,16.80942,1,10,,652.0,,,
13,01,28.00,47,02.63262,008,16.80942,1,10,,652.0,,,
13,01,29.00,47,02.63262,008,16.80942,1,10,,651.9,,,
13,01,30.00,47,02.63262,008,16.80942,1,10,,651.9,,,
13,01,31.00,47,02.63262,008,16.80942,1,10,,651.9,,,
13,01,32.00,47,02.63262,008,16.80942,1,10,,651.9,,,
13,01,33.00,47,02.63262,008,16.80948,1,10,,651.8,,,
13,01,34.00,47,02.63256,008,16.80948,1,10,,651.8,,,
13,01,35.00,47,02.63256,008,16.80948,1,10,,651.8,,,
13,01,36.00,47,02.63256,008,16.80948,1,10,,651.7,,,
13,01,37.00,47,02.63256,008,16.80954,1,10,,651.7,,,
13,01,38.00,47,02.63256,008,16.80954,1,10,,651.6,,,
13,01,39.00,47,02.63256,008,16.80954,1,10,,651.6,,,
13,01,40.00,47,02.63256,008,16.80954,1,10,,651.5,,,
13,01,41.00,47,02.63250,008,16.80954,1,10,,651.5,,,
13,01,42.00,47,02.63250,008,16.80960,1,10,,651.4,,,
13,01,43.00,47,02.63250,008,16.80960,1,10,,651.4,,,
13,01,44.00,47,02.63250,008,16.80960,1,10,,651.3,,,
13,01,45.00,47,02.63250,008,16.80960,1,10,,651.3,,,
13,01,46.00,47,02.63244,008,16.80960,1,10,,651.2,,,
13,01,47.00,47,02.63244,008,16.80966,1,10,,651.2,,,
13,01,48.00,47,02.63244,008,16.80966,1,10,,651.1,,,
13,01,49.00,47,02.63244,008,16.80966,1,10,,651.1,,,
13,01,50.00,47,02.63238,008,16.80966,1,10,,651.0,,,
13,01,51.00,47,02.63238,008,16.80972,1,10,,651.0,,,
13,01,52.00,47,02.63238,008,16.80972,1,10,,650.9,,,
13,01,53.00,47,02.63238,008,16.80972,1,10,,650.8,,,
13,01,54.00,47,02.63232,008,16.80972,1,10,,650.7,,,
13,01,55.00,47,02.63232,008,16.80978,1,10,,650.7,,,
13,01,56.00,47,02.63232,008,16.80978,1,10,,650.6,,,
13,01,57.00,47,02.63232,008,16.80978,1,10,,650.5,,,
13,01,58.00,47,02.63232,008,16.80978,1,10,,650.4,,,
13,01,59.00,47,02.63226,008,16.80978,1,10,,650.4,,,
13,02,00.00,47,02.63226,008,16.80984,1,10,,650.3,,,
13,02,01.00,47,02.63226,008,16.80984,1,10,,650.2,,,
13,02,02.00,47,02.63226,008,16.80984,1,10,,650.2,,,
13,02,03.00,47,02.63220,008,16.80990,1,10,,650.1,,,
13,02,04.00,47,02.63220,008,16.80990,1,10,,650.0,,,
13,02,05.00,47,02.63220,008,16.80990,1,10,,649.9,,,
13,02,06.00,47,02.63220,008,16.80990,1,10,,649.9,,,
13,02,07.00,47,02.63214,008,16.80990,1,10,,649.8,,,
13,02,08.00,47,02.63214,008,16.80990,1,10,,649.7,,,
13,02,09.00,47,02.63214,008,16.80996,1,10,,649.6,,,
13,02,10.00,47,02.63208,008,16.80996,1,10,,649.6,,,
13,02,11.00,47,02.63208,008,16.80996,1,10,,649.5,,,
13,02,12.00,47,02.63208,008,16.80996,1,10,,649.4,,,
13,02,13.00,47,02.63202,008,16.81002,1,10,,649.4,,,
13,02,14.00,47,02.63202,008,16.81002,1,10,,649.3,,,
13,02,15.00,47,02.63196,008,16.81002,1,10,,649.2,,,
13,02,16.00,47,02.63196,008,16.81002,1,10,,649.2,,,
13,02,17.00,47,02.63196,008,16.81008,1,10,,649.1,,,
13,02,18.00,47,02.63196,008,16.81008,1,10,,649.1,,,
13,02,19.00,47,02.63190,008,16.81008,1,10,,649.0,,,
13,02,20.00,47,02.63190,008,16.81008,1,10,,649.0,,,
13,02,21.00,47,02.63190,008,16.81014,1,10,,648.9,,,
13,02,22.00,47,02.63190,008,16.81014,1,10,,648.9,,,
13,02,23.00,47,02.63184,008,16.81014,1,10,,648.8,,,
13,02,24.00,47,02.63184,008,16.81014,1,10,,648.8,,,
13,02,25.00,47,02.63184,008,16.81014,1,10,,648.8,,,
13,02,26.00,47,02.63184,008,16.81014,1,10,,648.8,,,
